GS-GENERAL SERVICES ADMINISTRATION,52642
HS-DEPARTMENT OF HOMELAND SECURITY,119794
HS-DEPARTMENT OF HOMELAND SECURITY,92316
TD-DEPARTMENT OF TRANSPORTATION,109781
HS-DEPARTMENT OF HOMELAND SECURITY,113444
CM-DEPARTMENT OF COMMERCE,141555
VA-DEPARTMENT OF VETERANS AFFAIRS,81783
EP-ENVIRONMENTAL PROTECTION AGENCY,149432
IN-DEPARTMENT OF THE INTERIOR,79996
EP-ENVIRONMENTAL PROTECTION AGENCY,170969
IN-DEPARTMENT OF THE INTERIOR,48084.48
VA-DEPARTMENT OF VETERANS AFFAIRS,88110
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,65218.75
VA-DEPARTMENT OF VETERANS AFFAIRS,36560
VA-DEPARTMENT OF VETERANS AFFAIRS,34247.67
TR-DEPARTMENT OF THE TREASURY,141555
TR-DEPARTMENT OF THE TREASURY,93293
VA-DEPARTMENT OF VETERANS AFFAIRS,82848
VA-DEPARTMENT OF VETERANS AFFAIRS,34247.67
VA-DEPARTMENT OF VETERANS AFFAIRS,37551
AG-DEPARTMENT OF AGRICULTURE,32318
VA-DEPARTMENT OF VETERANS AFFAIRS,90610
DJ-DEPARTMENT OF JUSTICE,55397
AG-DEPARTMENT OF AGRICULTURE,53199
HS-DEPARTMENT OF HOMELAND SECURITY,55495
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,109245
IN-DEPARTMENT OF THE INTERIOR,77019
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,93542
IN-DEPARTMENT OF THE INTERIOR,105622
ST-DEPARTMENT OF STATE,93293
AM-U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT,104433
VA-DEPARTMENT OF VETERANS AFFAIRS,40828
IN-DEPARTMENT OF THE INTERIOR,92316
CM-DEPARTMENT OF COMMERCE,160300
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,71012
VA-DEPARTMENT OF VETERANS AFFAIRS,60309
SZ-SOCIAL SECURITY ADMINISTRATION,67145
DJ-DEPARTMENT OF JUSTICE,160200
TR-DEPARTMENT OF THE TREASURY,159314
DJ-DEPARTMENT OF JUSTICE,107263
VA-DEPARTMENT OF VETERANS AFFAIRS,48600
HS-DEPARTMENT OF HOMELAND SECURITY,34018.1
IN-DEPARTMENT OF THE INTERIOR,61221
TD-DEPARTMENT OF TRANSPORTATION,120341
TR-DEPARTMENT OF THE TREASURY,68342
VA-DEPARTMENT OF VETERANS AFFAIRS,108501
VA-DEPARTMENT OF VETERANS AFFAIRS,77834
AG-DEPARTMENT OF AGRICULTURE,59387
TD-DEPARTMENT OF TRANSPORTATION,120476
SZ-SOCIAL SECURITY ADMINISTRATION,93293
ST-DEPARTMENT OF STATE,130666
VA-DEPARTMENT OF VETERANS AFFAIRS,74862
TR-DEPARTMENT OF THE TREASURY,142021
DJ-DEPARTMENT OF JUSTICE,52232
VA-DEPARTMENT OF VETERANS AFFAIRS,47254
HS-DEPARTMENT OF HOMELAND SECURITY,104433
VA-DEPARTMENT OF VETERANS AFFAIRS,56976
HS-DEPARTMENT OF HOMELAND SECURITY,130666
NN-NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,123070
HS-DEPARTMENT OF HOMELAND SECURITY,85196
VA-DEPARTMENT OF VETERANS AFFAIRS,75973
SE-SECURITIES AND EXCHANGE COMMISSION,234998
VA-DEPARTMENT OF VETERANS AFFAIRS,46831
VA-DEPARTMENT OF VETERANS AFFAIRS,85519
TD-DEPARTMENT OF TRANSPORTATION,65749
EP-ENVIRONMENTAL PROTECTION AGENCY,94193
VA-DEPARTMENT OF VETERANS AFFAIRS,107859
AG-DEPARTMENT OF AGRICULTURE,87704
HS-DEPARTMENT OF HOMELAND SECURITY,112517
TR-DEPARTMENT OF THE TREASURY,93293
HS-DEPARTMENT OF HOMELAND SECURITY,78114
HS-DEPARTMENT OF HOMELAND SECURITY,34560
SE-SECURITIES AND EXCHANGE COMMISSION,205336
TD-DEPARTMENT OF TRANSPORTATION,81756
DL-DEPARTMENT OF LABOR,104304
VA-DEPARTMENT OF VETERANS AFFAIRS,52425.44
VA-DEPARTMENT OF VETERANS AFFAIRS,84302
VA-DEPARTMENT OF VETERANS AFFAIRS,62022
ST-DEPARTMENT OF STATE,92145
TR-DEPARTMENT OF THE TREASURY,101067
VA-DEPARTMENT OF VETERANS AFFAIRS,46001
HS-DEPARTMENT OF HOMELAND SECURITY,71604.97
VA-DEPARTMENT OF VETERANS AFFAIRS,60391
VA-DEPARTMENT OF VETERANS AFFAIRS,43684
NN-NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,145162
HS-DEPARTMENT OF HOMELAND SECURITY,134296
NN-NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,160300
TR-DEPARTMENT OF THE TREASURY,111408
HS-DEPARTMENT OF HOMELAND SECURITY,39685
HS-DEPARTMENT OF HOMELAND SECURITY,99487
TR-DEPARTMENT OF THE TREASURY,98289
DJ-DEPARTMENT OF JUSTICE,105969
DJ-DEPARTMENT OF JUSTICE,46831
VA-DEPARTMENT OF VETERANS AFFAIRS,77610
ST-DEPARTMENT OF STATE,75672
DJ-DEPARTMENT OF JUSTICE,107859
DL-DEPARTMENT OF LABOR,101694
TD-DEPARTMENT OF TRANSPORTATION,104655
HS-DEPARTMENT OF HOMELAND SECURITY,69288
DJ-DEPARTMENT OF JUSTICE,52232
VA-DEPARTMENT OF VETERANS AFFAIRS,38526.02
DL-DEPARTMENT OF LABOR,98519
HS-DEPARTMENT OF HOMELAND SECURITY,90368
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,157343
HS-DEPARTMENT OF HOMELAND SECURITY,50943.67
VA-DEPARTMENT OF VETERANS AFFAIRS,44430
TR-DEPARTMENT OF THE TREASURY,55516
DJ-DEPARTMENT OF JUSTICE,71553
VA-DEPARTMENT OF VETERANS AFFAIRS,63665
VA-DEPARTMENT OF VETERANS AFFAIRS,95884
AG-DEPARTMENT OF AGRICULTURE,104777
NN-NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,152687
HS-DEPARTMENT OF HOMELAND SECURITY,134296
VA-DEPARTMENT OF VETERANS AFFAIRS,73646
TR-DEPARTMENT OF THE TREASURY,49672
VA-DEPARTMENT OF VETERANS AFFAIRS,109781
DJ-DEPARTMENT OF JUSTICE,104292
AG-DEPARTMENT OF AGRICULTURE,107096
TD-DEPARTMENT OF TRANSPORTATION,140501
TD-DEPARTMENT OF TRANSPORTATION,84917
TD-DEPARTMENT OF TRANSPORTATION,134482
DJ-DEPARTMENT OF JUSTICE,174100
HS-DEPARTMENT OF HOMELAND SECURITY,101067
DJ-DEPARTMENT OF JUSTICE,110941
IN-DEPARTMENT OF THE INTERIOR,90805.37
VA-DEPARTMENT OF VETERANS AFFAIRS,58564
SZ-SOCIAL SECURITY ADMINISTRATION,98669
VA-DEPARTMENT OF VETERANS AFFAIRS,103112
TR-DEPARTMENT OF THE TREASURY,71182
ST-DEPARTMENT OF STATE,53610
SE-SECURITIES AND EXCHANGE COMMISSION,237700
VA-DEPARTMENT OF VETERANS AFFAIRS,92316
AG-DEPARTMENT OF AGRICULTURE,71095
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,108887
VA-DEPARTMENT OF VETERANS AFFAIRS,110941
TD-DEPARTMENT OF TRANSPORTATION,104398
HS-DEPARTMENT OF HOMELAND SECURITY,67076.18
CM-DEPARTMENT OF COMMERCE,165047
VA-DEPARTMENT OF VETERANS AFFAIRS,37225
EP-ENVIRONMENTAL PROTECTION AGENCY,137926
DJ-DEPARTMENT OF JUSTICE,120187
HS-DEPARTMENT OF HOMELAND SECURITY,42282
AG-DEPARTMENT OF AGRICULTURE,49169.72
TD-DEPARTMENT OF TRANSPORTATION,147170
IN-DEPARTMENT OF THE INTERIOR,168660
HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,82927
IN-DEPARTMENT OF THE INTERIOR,62022
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,131095
TR-DEPARTMENT OF THE TREASURY,56976
HS-DEPARTMENT OF HOMELAND SECURITY,110252
CM-DEPARTMENT OF COMMERCE,25731
BG-PENSION BENEFIT GUARANTY CORPORATION,141555
